,Person,Institut
310,Kraft < Holger < Prof. Dr. < ,Abteilung Finanzen (FI)
311,Krahnen < Jan Pieter < Prof. Dr. < ,Abteilung Finanzen (FI)
312,Landwehr < Jan < Prof. Dr. < ,Abteilung Marketing (MA)
313,Laudenbach < Christine < Prof'in. Dr. < ,LOEWE-Zentren und LOEWE-Schwerpunkte
314,Ludwig (FB 02) < Alexander < Prof. Dr. < ,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
315,Maurer < Raimond < Prof. Dr. < ,Abteilung Finanzen (FI)
316,Meyer-Gohde < Alexander < Prof. Dr. < ,Abteilung Geld und Währung (GW)
317,Minnameier < Gerhard < Prof. Dr. < ,Professuren außerhalb von Abteilungen
318,Otter < Thomas < Prof. Dr. < ,Abteilung Marketing (MA)
319,Pelizzon < Loriana < Prof'in. < Ph.D.,LOEWE-Zentren und LOEWE-Schwerpunkte
320,Rannenberg < Kai < Prof. Dr. < ,Abteilung Wirtschaftsinformatik und Informationswirtschaft (WI)
321,Rohlfing-Bastian < Anna < Prof'in. Dr. < ,Gremien und Vertretungen FB 2
322,Schlag < Christian < Prof. Dr. < ,Abteilung Finanzen (FI)
323,Schündeln < Matthias < Prof. < Ph.D.,Abteilung Wirtschaftspolitik & Quantitative Methoden (EQ)
324,Schweizer < Lars < Prof. Dr. < ,Abteilung Management und Mikroökonomie (MM)
325,Skiera < Bernd < Prof. Dr. < ,Abteilung Marketing (MA)
326,Storz < Cornelia < Prof'in. Dr. < ,Abteilung Management und Mikroökonomie (MM)
327,Trabandt < Mathias < Prof. Dr. < ,Abteilung Geld und Währung (GW)
328,van Ewijk < Reyn < Prof. < Dr.,Graduiertenkollegs
329,von Siemens < Ferdinand < Prof. Dr. < ,Abteilung Management und Mikroökonomie (MM)
330,Wahrenburg < Mark < Prof. Dr. < ,Abteilung Finanzen (FI)
331,Walz < Uwe < Prof. Dr. < ,Abteilung Management und Mikroökonomie (MM)
